기업명,모집내용,조건
(재)경기도일자리재단,경기청년 일자리 매치업 1차 통합채용공고,경력무관 학력무관 경기 부천시 외 정규직 외
㈜이랜드이노플,이랜드이노플 클라우드 아키텍트 채용(0-3년),경력 학력무관 서울 금천구 계약직
진인프라,2024년 신입 및 경력 공개 채용,"신입·경력 고졸↑ 서울 송파구 외 정규직 3,000만원 이상"
펀앤아이,"[펀비어킹] 35년차 외식본사 (메뉴바이저, 온라인마케팅, 영상기획 및 편집, 유튜브채널기획 및 관리)",신입·경력 학력무관 서울 서초구 외 정규직
㈜오누이,[에듀테크 스타트업 오누이/설탭] 분야별 채용,신입·경력 학력무관 서울 마포구 외 정규직 외
㈜에티버스,VMware 솔루션 엔지니어 및 영업직 모집,신입·경력 학력무관 서울 중구 외 정규직
㈜안랩,2024 안랩 상반기 신입/Junior 공개채용,신입·경력 대졸↑ 경기 성남시 정규직
㈜미라콤아이앤씨,[미라콤아이앤씨(삼성SDS 자회사)] 2024 경력사원 채용,경력2년↑ 학력무관 서울 송파구 정규직
씨에스케이㈜ (CSK Inc. ),씨에스케이 Field Service & 에드워드 Graduate Program 신입 채용,신입·경력 초대졸↑ 경기 평택시 외 정규직
퓨처스엔터테인먼트㈜,가상자산 플랫폼 관리자 & 서비스 기획 채용,"경력무관 학력무관 서울 강남구 정규직 2,800만원 이상"
㈜코난테크놀로지,2024년 상반기 각 부문 신입/경력 상시 채용,신입·경력 대졸↑ 서울 서초구 정규직
신한은행,[신한은행] RPA 개발 및 운영 경력직 채용,경력2년↑ 학력무관 서울 중구 계약직
㈜올수,"(주)올수 마케팅 기획, 운영 / 마케팅 - 경력자 모집",경력2년↑ 학력무관 경기 정규직
㈜영신디엔씨,각분야 신입/경력 채용,신입·경력3년↑ 초대졸↑ 경기 정규직 외
한전KDN,2024년 신입사원/별정직/국가보훈대상자/사내변호사 채용,신입·경력 학력무관 서울 정규직 외
㈜에스엠피엠씨,[신세계그룹 관계사] 각 부문 경력 채용,경력2년↑ 초대졸↑ 서울 강남구 외 정규직
신한은행,[신한은행] 2024년 디지털/ICT 수시채용,경력무관 학력무관 서울 중구 정규직
삼성중공업,2024 삼성중공업 미래사업 분야 경력사원 채용,경력4년↑ 대졸↑ 경남 거제시 외 정규직
현대자동차㈜,현대자동차 경력 채용 IT부문,경력 대졸↑ 서울 서초구 정규직
더이앤엠,재무회계/전략기획/플랫폼사업/기술개발부(백엔드/프론트엔드/모바일팀/DB팀) 채용,신입·경력 학력무관 서울 서초구 외 정규직
㈜넥슨,신입/경력 채용,신입·경력 학력무관 경기 성남시 정규직 외
㈜플래티어,[그루비 SaaS 솔루션] 데이터 사이언티스트,경력2년↑ 대졸↑ 서울 송파구 정규직
(주)우아한형제들,각 부문별 경력/신입 인재영입,신입·경력 학력무관 서울 송파구 정규직 외
㈜하이,(주)하이-데이터 사이언티스트 [ML팀],경력2년↑ 대졸↑ 서울 종로구 정규직
메디웨일,데이터 사이언티스트,경력3년↑ 학력무관 서울 구로구 정규직
휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/자바웹개발자 교육생모집,신입·경력 학력무관 서울 영등포구 외 연수생/교육생
템프인㈜,[여의도/-3288만/소속전환]공기업 통계업무 채용,경력무관 초대졸↑ 서울 영등포구 파견직
㈜에이콘아카데미,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/등 자바개발자취업교육과정/취업연계매칭 / IT취업 컨설팅,신입·경력 고졸↑ 서울 연수생/교육생
㈜이스트소프트,[ESTsoft] 각부문별 부트캠프 과정 교육생 모집,신입 학력무관 서울 서초구 연수생/교육생
(재)울산정보산업진흥원,"[국비지원 무료교육] 인공지능, ChatGPT, 메타버스, 로봇과정 교육생 모집",경력무관 학력무관 울산 남구 외 연수생/교육생
대한상공회의소 광주인력개발원,[K-디지털/취업유망 취업연계]국비기술교육생모집(AI응용SW개발/CAD·CAM/자동화/전기),경력무관 학력무관 광주 광산구 외 연수생/교육생
한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,신입·경력 고졸↑ 서울 연수생/교육생
한국스마트정보교육원,[전액국비무료] 웹·어플 개발자 양성과정 교육생 모집,경력무관 학력무관 전북 전주시 외 연수생/교육생
㈜하이미디어아카데미,[국비무료IT취업교육생모집]JAVA개발자/풀스택개발자/프론트엔드/백엔드/빅데이터/개발자취업교육과정/취업연계매칭시스템,경력무관 학력무관 강원 연수생/교육생
삼성웰스토리㈜,부문별 경력사원 채용 (FD 수주영업),경력 경기 성남시 정규직
삼성웰스토리㈜,부문별 경력사원 채용 (AI 사이언티스트),경력 경기 성남시 정규직
삼성웰스토리㈜,부문별 경력사원 채용 (로보틱스 담당),경력 경기 성남시 정규직
㈜컴투스,[컴투스홀딩스] 데이터분석팀 팀리더 (경력),경력 서울 금천구 정규직
아이헤이트플라잉버그스㈜,데이터 매니저 (신입),신입 대졸↑ 서울 영등포구 정규직 외
㈜컴투스,[컴투스] 데이터 분석 및 기획 담당자 (경력),경력 서울 금천구 정규직
㈜컴투스,[컴투스] [컴투스프로야구 시리즈] QA 담당자 (계약직),신입·경력 학력무관 서울 금천구 계약직
금융감독원,2024년도 금융감독원 A.C.E. 전문가(4·5급) 채용공고(정보기술A.C.E.(IT-데이터·AI 등)),경력5년↑ 학력무관 서울 영등포구 정규직
금융감독원,2024년도 금융감독원 A.C.E. 전문가(4·5급) 채용공고(정보기술A.C.E.(IT-일반)),경력5년↑ 학력무관 서울 영등포구 정규직
㈜넥슨,[국내메이플] DBA,경력5년↑ 학력무관 경기 성남시 정규직
㈜토마토시스템,[(주)토마토시스템] AI데이터 분석 부문 채용(경력),경력2년↑ 대졸↑ 서울 강남구 정규직
(재)경기도일자리재단,연합시스템 경력 채용 공고,경력1년↑ 학력무관 경기 김포시 정규직
㈜포이시스,[본사] Marketing Dashboard 구현을 위한 Tableau 시각화 & 데이터 분석 경력직 채용,경력4년↑ 대졸↑ 서울 금천구 정규직 외 과장~차장급 외
(재)경기도일자리재단,에프원소프트㈜ 신입/경력 채용 공고,신입·경력 대졸↑ 경기 화성시 정규직
㈜투이컨설팅,2024년 상반기 신입/경력 컨설턴트 채용,신입·경력3년↑ 대졸↑ 서울 영등포구 정규직 팀원
㈜컴투스,[컴투스플랫폼] 게임 데이터 분석가 (경력),경력 서울 금천구 정규직
㈜컴투스,[컴투스플랫폼] 빅데이터 분석가 (산후 대체 계약직),경력 서울 금천구 계약직
㈜컬리,물류 전산관리 담당자 (오후),신입·경력 학력무관 경기 평택시 정규직 팀원
쿠팡풀필먼트서비스(유),[쿠팡풀필먼트서비스] ICQA Business Development 팀 정규직 채용,경력2년↑ 학력무관 서울 송파구 정규직
카카오스타일,카카오스타일에서 `데이터 사이언티스트(Computer Vision&NLP) 인턴`을 채용합니다.,신입 학력무관 경기 성남시 인턴
케이티,2024년 디지털혁신 우수인재 채용(데이터분석 및 AI 모델 개발),경력 대졸↑ 경기 성남시 외 정규직
케이티,2024년 디지털혁신 우수인재 채용(DATA),경력 대졸↑ 서울 종로구 외 정규직
㈜애드이피션시,[글로벌] 디지털 퍼포먼스 광고 경력 AE 모집,경력 대졸↑ 서울 서초구 정규직
㈜이글루코퍼레이션,[연구개발본부] IT개발자(웹어플백엔드/ML/데이터분석) 경력 채용,경력2년↑ 초대졸↑ 서울 송파구 정규직 팀원
백패커,[백패커/아이디어스] Product Data Analyst,경력1년↑ 학력무관 서울 서초구 정규직
㈜넥슨,[인텔리전스랩스] 분석지원팀 데이터 엔지니어,경력무관 학력무관 경기 성남시 정규직
엠아이큐브솔루션㈜,데이터 분석(경력 10년 이상),경력10년↑ 대졸↑ 서울 서초구 정규직
더치트주식회사,"데이터 애널리스트 / 데이터분석 전문가 / 통계 전문가 / Data Analyst (통계전공자, 신입)","경력무관 학력무관 서울 마포구 정규직 외 3,000~4,000만원"
㈜피엠그로우,2024년 피엠그로우 D&P 모델 개발 채용,경력10년↑ 대졸↑ 서울 서초구 정규직 팀원
㈜피엠그로우,2024년 피엠그로우 D&P 데이터 분석 채용,경력3년↑ 대졸↑ 서울 서초구 정규직 팀원
네이버웹툰,Data Scientist (경력),경력 경기 성남시 정규직
로지스올그룹,로지스올엔지니어링 신입/경력사원 채용,신입·경력1년↑ 고졸↑ 서울 마포구 외 정규직
한국필립모리스㈜,[한국필립모리스] IT Analyst Consumer Platform - B2B,신입·경력1년↑ 학력무관 서울 영등포구 정규직
㈜클라우드네트웍스,[클라우드네트웍스] 빅데이터 솔루션 엔지니어 모집 (신입),신입 학력무관 서울 강남구 정규직 주임~대리급
㈜엔씨소프트,[엔씨소프트][단기계약직] AI번역을 위한 데이터 분석/구축 언어학자 모집(중국어),신입·경력 학력무관 경기 성남시 계약직 사원급 외
케이티,2024년 경력채용(AI 데이터 분석),경력 대졸↑ 서울 종로구 정규직
케이티,2024년 경력채용(마케팅-기획/광고영업/데이터분석/UX 등),경력 대졸↑ 서울 종로구 정규직
슈어소프트테크㈜,[슈어소프트테크] 2024년 상반기 경력사원 모집,경력3년↑ 대졸↑ 경기 성남시 정규직
신한이지손해보험㈜,신한EZ손해보험 - 일반손해보험 계약프로세스 기획자 채용,경력3년↑ 대졸↑ 서울 중구 정규직 주임~대리급 외
중고나라,[중고나라] 데이터 엔지니어 (1 - 3년),경력1년↑ 대졸↑ 서울 서초구 외 정규직
㈜다날,다날 AML(자금세탁방지) 시스템 DB 운영 담당자 채용,경력무관 대졸↑ 경기 성남시 정규직
지멘스헬시니어스(주),[지멘스 헬시니어스] Data Scientist,경력1년↑ 대졸↑ 서울 서초구 정규직
㈜컬리,물류 데이터 담당자 (오후),신입·경력 학력무관 경기 평택시 정규직 팀원
㈜컬리,물류 데이터 담당자 (주간),신입·경력 학력무관 경기 평택시 정규직 팀원
(주)에이치에스애드,각 모집분야별 상시 인재 채용(디지털미디어),경력 대졸↑ 서울 마포구 정규직
(주)에이치에스애드,각 모집분야별 상시 인재 채용(광고기획(AE)),경력 대졸↑ 서울 마포구 정규직
제주은행,2024년 디지털/ICT 전문계약직원(경력직) 상시채용 - 데이터/RPA,경력 학력무관 제주 제주시 계약직
제주은행,2024년 디지털/ICT 전문계약직원(경력직) 상시채용,경력 학력무관 제주 제주시 계약직
㈜넥슨,[인텔리전스랩스] 데이터 분석가 (게임 플레이 로그 데이터 분석),경력 학력무관 경기 성남시 정규직
펜타시스템테크놀러지㈜,Blue Analytics 데이터 분석가 채용 공고,경력3년↑ 대졸↑ 서울 영등포구 정규직 외 사원급 외
서울아산병원,[서울아산병원 연구중심육성과제] AI Scientist 채용,경력 대졸↑ 서울 송파구 계약직 팀원
㈜씨앤씨,"데이타,하드,복구,유지보수..",경력무관 고졸↑ 충북 청주시 정규직
㈜시큐레이어,[ICT수행팀] 사업 제안/수행 PM/PL 인재를 모십니다.,경력3년↑ 초대졸↑ 서울 성동구 정규직
더치트주식회사,"데이터 애널리스트 / 데이터분석 전문가 / 통계 전문가 / Data Analyst (통계전공자, 석사 이상)","경력3년↑ 학력무관 서울 마포구 정규직 외 3,000~10,000만원"
현대오토에버㈜,차량SW · ICT · 경영지원 부문 채용,경력 학력무관 서울 정규직 외
㈜넥슨,[인텔리전스랩스] 데이터 분석가 (개인화 콘텐츠),경력무관 학력무관 경기 성남시 정규직
샘표식품㈜,2024 샘표식품 각 부문 수시 채용,신입·경력 학력무관 경기 이천시 외 정규직 외
한국타이어앤테크놀로지,R&D 상시채용-IT System 기획 및 설계,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-Subjective Test,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-재료평가(고분자 물성 평가),신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-재료평가(고급 분석화학 평가),신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-내구평가,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-마모평가,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-특성평가,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-Compound Digital Twin 연구,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-Sustainable Material 연구,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-선행 Compound 연구,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-고성능 Compound 연구,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-Tire 센서 솔루션 개발,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-Tire 센서 시스템 개발,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-Handling 성능 연구 & 해석 Tool 개발,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-Virtual Tire Design 환경 개발(CAD),신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-Tire 설계 시스템 기획 및 개발,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-타이어 제조 Simulation Tool 개발,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-타이어 성능 Simulation Tool 개발,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-클라우드 기반 AI 시스템 구축,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-인공지능 기술 선행연구 및 활용,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-데이터 수집 및 분석,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-신패턴 개발 및 기술 연구,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-NVH 평가 기술 개발,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-NVH 해석 기술 개발,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-NVH 성능 연구,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-Airless Tire 구조해석,신입·경력 석사↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용-신구조 연구,신입·경력 대졸↑ 대전 유성구 정규직
한국타이어앤테크놀로지,R&D 상시채용,신입·경력 대졸↑ 대전 유성구 정규직
㈜넥슨,[인텔리전스랩스] 리서치 사이언티스트 (NLP),경력무관 학력무관 경기 성남시 정규직
㈜해줌,[에너지 IT기업 해줌] 데이터사이언티스트 채용,경력3년↑ 대졸↑ 서울 송파구 정규직
메가존클라우드㈜,재무전략 부문 채용 (관리회계),경력무관 학력무관 서울 강남구 정규직
㈜비바리퍼블리카,[토스뱅크] CSS Modeler (신용평가모형),경력3년↑ 학력무관 서울 강남구 정규직
㈜비바리퍼블리카,[토스뱅크] Risk Manager (Risk Component),경력5년↑ 학력무관 서울 강남구 정규직
㈜엑스퍼트컨설팅,㈜엑스퍼트컨설팅 /엑스퍼트아카데미 태블로(Taebleau)강사 모집중,경력 대졸↑ 서울 송파구 계약직
㈜제놀루션,(주)제놀루션 [NGS 데이터 기반 유전체 분석] 경력직 채용,경력3년↑ 대졸↑ 서울 강서구 정규직 주임~대리급 외
한국직업전문학교,자바 풀스택 파이썬/데이터분석 국비훈련 강사 모집,경력5년↑ 대졸↑ 서울 구로구 계약직
㈜알라딘커뮤니케이션,DBA 모집,경력7년↑ 학력무관 서울 중구 정규직
현대오토에버㈜,Network Engineer 채용,경력3년↑ 학력무관 서울 강남구 외 정규직 외
지니언스(주),2024 지니언스 상반기 각 분야 채용,신입·경력 학력무관 경기 안양시 외 정규직 사원급 외
잡코리아(유),잡코리아 Tech 인재 상시채용,경력무관 대졸↑ 서울 서초구 외 정규직
㈜아이티스트,[구로] data flow / air flow 개발자 ( 6년차 이상 ) 정규직 구인,"경력6년↑ 초대졸↑ 서울 구로구 정규직 5,500~6,000만원"
에스프렉텀,공공기관 및 국가 R&D 학술연구용역 연구인력 모집,"신입 대졸↑ 경기 성남시 정규직 2,500만원 이상 사원급"
㈜대가들이사는마을,컨텐츠 마케터 채용[정규직],"경력무관 학력무관 경기 고양시 정규직 2,700~4,000만원 사원급 외"
㈜비즈스프링,비즈니스 데이터 솔루션 운영 부문 인재채용,경력무관 학력무관 서울 성동구 정규직 사원급 외
㈜이안아이티컨설팅,"DW운영 - 패널생산품질 ( 파주, SM, 단가 본문 참조 )",경력3년↑ 학력무관 경기 파주시 계약직 외 600만원 이상(월)
㈜제이투이,[POWER BI 운영 정규직] POWER BI 운영 프로젝트 SSIS 경험자 우대 정규직 장기근무 우대.........(5),경력무관 초대졸↑ 서울 성동구 정규직 주임~대리급 외
㈜제이투이,[SSIS 운영 정규직] SSIS 운영 프로젝트 SSIS SSAS POWER BI 경험자 우대 정규직 장기근무 우대.........(5),경력무관 초대졸↑ 서울 성동구 정규직 주임~대리급 외
㈜제이투이,"[BI 수시 채용] BI모델러, ETL, POWER BI, Azure Data factory, SSIS 모집..........(1)",경력2년↑ 초대졸↑ 서울 성동구 정규직 외 과장~차장급 외
엘오케이(유),[L`oreal Korea] IT Data Engineer & Analyst - Corporate IT team,경력2년↑ 대졸↑ 서울 강남구 정규직
브이엔티지,SAP BW(BI) 운영 및 개발자 (1년이상),경력1년↑ 학력무관 서울 마포구 정규직
대상정보기술㈜,[대상정보기술] 각 부문별 경력·신입 채용,신입·경력 학력무관 서울 광진구 정규직
㈜디지탈쉽,(주)디지탈쉽 웹 프론트 및 백엔드 개발 경력사원 모집,경력2년↑ 초대졸↑ 서울 강남구 정규직
메디픽셀,데이터 라벨링 연구원 채용(방사선사),경력3년↑ 초대졸↑ 서울 강남구 정규직
㈜모비데이즈,[모비데이즈] 데이터팀 경력직 채용(-4/30),경력2년↑ 학력무관 서울 강남구 정규직 외 팀원 외
㈜바이텍씨스템,"빅데이터 플랫폼 Splunk 구축, 데이터 분석 및 개발 엔지니어 채용",경력 대졸↑ 경기 성남시 정규직 사원급 외
휴먼교육센터,"[휴먼교육센터] AI, 빅데이터 강사 채용[서울영등포센터]",경력3년↑ 대졸↑ 서울 영등포구 정규직 외
로민,데이터 엔지니어 채용,"경력5년↑ 대졸↑ 서울 서초구 정규직 5,000만원 이상"
㈜에듀윌,[ 에듀윌 국비교육원 성남센터 ] 고등학생 대상 파이썬 기초 및 빅데이터 분야 교강사 경력직 모집,"경력 학력무관 경기 성남시 계약직 외 70,000원(시)"
㈜메디치소프트,데이터전처리&모델링,경력1년↑ 대졸↑ 서울 영등포구 정규직 외 사원급 외
아이에프에이 주식회사,[iFA]금융 데이터 분석 및 S/W 기획자 채용,경력1년↑ 학력무관 서울 강남구 정규직
큐텐 코리아 유한책임회사,[Qoo10] 데이터분석 엔지니어 (경력),경력3년↑ 학력무관 서울 강남구 정규직
㈜한국정보공작소,[기업부설연구소] AI 기반 비전시스템 개발 정규직 전문연구원 모집,신입·경력1년↑ 대졸↑ 서울 금천구 정규직 주임~대리급 외
홈페이지사랑,웹앱개발자,경력 학력무관 서울 강남구 계약직 팀장/매니저/실장
메이츠소프트㈜,인공지능 SW개발 경력 인재 채용,경력2년↑ 대졸↑ 서울 영등포구 정규직 외 주임~대리급 외
㈜탑에듀,"[경영정보, 데이터시각화, 태블로] 온라인 강사님 구인",경력1년↑ 석사↑ 서울 종로구 계약직 외
㈜브레이브모바일,Product Data Analyst,경력4년↑ 학력무관 서울 강남구 외 정규직
㈜케이엘큐브,한국수어-한국어 사전자료 집필 기획부문 계약직 채용,신입·경력2년↑ 초대졸↑ 서울 금천구 계약직
더조은아카데미신촌지점,[더조은컴퓨터학원 신촌캠퍼스] [K-디지털] 빅데이터분석 머신러닝과 딥러닝 AI 강의,경력 대졸↑ 서울 마포구 정규직 외
㈜이몰디노,[마이스터고 우대] 주니어 AI/ML 데이터 분석,신입 고졸↑ 서울 중구 인턴 250만원 이상(월) 사원급
㈜푸드테크,(주)푸드테크 운영 부문(주문중계) 채용,신입·경력2년↑ 초대졸↑ 서울 강남구 외 정규직
㈜비케이브,[패션기업] 비케이브 IT CRM / BI 분석 경력직 채용,경력4년↑ 초대졸↑ 서울 마포구 외 정규직
㈜비케이브,[패션기업] 비케이브 IT 세일즈 포스 개발 담당자 채용,경력6년↑ 초대졸↑ 서울 마포구 외 정규직
인바이츠바이오코아㈜,인바이츠바이오코아(주) 임상 통계분석(STAT) 경력직 채용의 건,경력1년↑ 대졸↑ 서울 금천구 정규직
㈜티맥스에스앤피,[TmaxSNP] SNP 백엔드 연구원,경력3년↑ 대졸↑ 경기 성남시 정규직
㈜티맥스에스앤피,[TmaxSNP] SNP 데이터 연구원,경력3년↑ 대졸↑ 경기 성남시 정규직
에쓰오씨소프트㈜,AI 모델링 / 데이터 분석,경력3년↑ 초대졸↑ 서울 구로구 정규직
㈜퍼즐데이터,데이터분석 컨설턴트 채용,"경력2년↑ 대졸↑ 서울 강남구 정규직 3,300~8,000만원"
㈜연합시스템,"빅데이터 분석, AI (머신러닝,딥러닝) 가능한 팀원을 충원합니다",경력1년↑ 학력무관 경기 김포시 정규직
㈜아이스크림아트,AI기반연구팀 - AI연구원 경력직 채용,경력2년↑ 대졸↑ 서울 강남구 정규직 사원급 외
콘센트릭스서비스코리아(유),Data분석 컨설턴트,경력3년↑ 학력무관 서울 강남구 정규직 사원급 외
㈜트인시스템즈,[모집] 웹/모바일 퍼블리셔 및 JAVA SM 운영자,경력무관 학력무관 서울 중구 외 정규직 외
㈜리코,[리코] 데이터분석 인턴 채용 (3개월),신입 대졸↑ 서울 강남구 인턴 210만원 이상(월) 팀원
엘지에너지솔루션,[LG에너지솔루션] 2024년 3월 경력사원 모집 (CSO),경력 대졸↑ 서울 영등포구 정규직
엘지에너지솔루션,[LG에너지솔루션] 2024년 상반기 R&D 산학장학생 상시 모집,신입 석사↑ 서울 영등포구 외 정규직
엘지에너지솔루션,[LG에너지솔루션] 2024년 3월 R&D(CTO) 경력사원 모집 (Pack선행개발),경력 대졸↑ 서울 영등포구 외 정규직
엘지에너지솔루션,[LG에너지솔루션]2024년 3월 R&D(CTO) 경력사원 모집 (Cell선행개발),경력 대졸↑ 서울 영등포구 외 정규직
엘지에너지솔루션,[LG에너지솔루션]2024년 3월 경력사원 모집 (CDO),경력 대졸↑ 서울 영등포구 외 정규직
㈜브릭,데이터 분석가(경력 5년 이상) 채용,경력5년↑ 대졸↑ 경기 성남시 정규직 팀원
㈜리본즈,럭셔리 쇼핑몰 (주)리본즈 CRM Marketer 인턴 모집,경력무관 학력무관 서울 성동구 인턴 사원급 외
㈜임프리메드코리아,데이터 사이언티스트 채용,"경력 대졸↑ 서울 마포구 정규직 5,000만원 이상"
