기업명,모집내용,조건
㈜디파인,[AI 기술 개발] 부문 신입/경력 채용 (전문연구요원 채용 가능),신입·경력1년↑ 석사↑ 경기 성남시 정규직 외
㈜씨와이디정보기술,AI 분야 연구개발 인력 모집,경력무관 석사↑ 경기 성남시 정규직 사원급 외
이투이솔루션즈㈜,이투이솔루션즈㈜ Oracle DBA채용,경력3년↑ 초대졸↑ 서울 서초구 정규직
미스터픽,[첫차]와 함께 할 데이터 분석 매니저를 찾습니다.,경력무관 학력무관 서울 강남구 정규직 외
충북대학교병원,파이썬 Python 프로그램 개발자 모집,"경력무관 학력무관 충북 청주시 계약직 외 3,000만원 이상"
㈜핀샷,[핀테크] 금융마케팅 팀원 모집,"신입 대졸↑ 서울 마포구 정규직 외 3,500만원 이상"
㈜지뉴소프트,[지뉴소프트/연구소]AI 연구원 및 개발자 채용,신입·경력 학력무관 서울 강남구 정규직 외
대한무역투자진흥공사,2024년 대한무역투자진흥공사 채용,신입·경력 학력무관 서울 서초구 외 정규직
코데이터솔루션㈜,데이터플랫폼 프로젝트 관리 및 수행 경력사원 채용,경력5년↑ 대졸↑ 서울 영등포구 정규직
㈜하이,(주) 하이 - 데이터 사이언티스트,"경력2년↑ 대졸↑ 서울 종로구 정규직 3,000만원 이상"
㈜에스씨에스엠,인공지능(AI) / 펌웨어 개발자 채용,경력3년↑ 초대졸↑ 세종 전지역 정규직 외
(주)스톤인테그리티,"인공지능 빅데이터 개발자 / 정규직 / 경력 - 대리, 과장","경력2년↑ 학력무관 서울 강남구 정규직 3,000~5,000만원 주임~대리급 외"
㈜마크로밀엠브레인,패널빅데이터센터 데이터사이언스팀 데이터 분석가(신입 및 경력),신입·경력2년↑ 대졸↑ 서울 강남구 정규직
유플러스홈서비스,유플러스홈서비스 HB인프라팀 사무직 채용(정규직),경력무관 대졸↑ 서울 마포구 정규직 팀원
넛지헬스케어㈜,[캐시워크] 데이터분석가 - 석사/박사,경력무관 석사↑ 서울 강남구 정규직
㈜솔로몬텍,BI 엔지니어 (Tableau) 경력 채용,경력3년↑ 대졸↑ 서울 영등포구 정규직 주임~대리급 외
㈜허니냅스,앱개발/모바일 어플리케이션 개발/관리자 채용 (경력),경력8년↑ 대졸↑ 서울 강남구 정규직
네이버웹툰(유),[네이버웹툰] [경력] Data Scientist,경력3년↑ 학력무관 경기 성남시 정규직
EXTA TECHNOLOGY LTD,Database administrator,"경력 대졸↑ 유럽 사이프러스 정규직 6,000만원 이상 과장~차장급 외"
㈜큐로드,[큐로드 수원] 앱스토어 데이터 분석 담당자 채용,"경력무관 학력무관 경기 수원시 외 정규직 2,750만원 이상"
㈜리팅랩스,[데이터분석가] 데이터로 소통하고 싶은 경력직 채용,경력3년↑ 초대졸↑ 서울 강남구 정규직
팡고지와이㈜,"플랫폼 UI,UX 기획(경력)","경력3년↑ 학력무관 서울 강남구 정규직 4,000~7,000만원 사원급 외"
㈜기어세컨드,데이터 분석가,"경력무관 학력무관 서울 마포구 정규직 외 4,000~8,000만원 사원급 외"
㈜기어세컨드,데이터 분석가 채용,"경력무관 학력무관 서울 마포구 정규직 외 4,000~8,000만원 사원급 외"
넥스트리서치㈜,[마케팅 리서치] 정규직/계약직 공개채용,"신입·경력 대졸↑ 서울 종로구 정규직 외 3,500만원 이상"
안진회계법인,[안진회계법인] 재무자문본부 금융기관 데이터 분석 전문가,경력5년↑ 대졸↑ 서울 영등포구 정규직
안진회계법인,[안진회계법인] 재무자문본부 Crisis Management - IT 및 정보보호 관련 (사고분석),경력5년↑ 대졸↑ 서울 영등포구 정규직
㈜미리디,[미리디] 데이터 챕터 리드,경력5년↑ 대졸↑ 서울 구로구 정규직
㈜팀벨,자사 솔루션 개발자 모집(경력),경력5년↑ 학력무관 서울 강남구 정규직
㈜이빗,(주) 이빗 - 파트타임 AI Trainer 모집 (모집분야: 데이터애널리틱스),"경력무관 학력무관 서울 강남구 계약직 외 35,000원(시)"
㈜알에스엔,[신입/경력] 데이터 분류 패턴 관리,경력무관 대졸↑ 경기 고양시 정규직 사원급 외
나이스지니데이타㈜,NICE지니데이타 (주) 데이터 컨설턴트/ 데이터 분석가 채용,경력2년↑ 대졸↑ 서울 영등포구 정규직 사원급
㈜알에스엔,[신입/경력] 인공지능 딥러닝 개발자 모집,신입·경력1년↑ 대졸↑ 경기 고양시 정규직 주임~대리급 외
인튜브,"Python, Elastic 개발 경력직원을 모집합니다.",경력2년↑ 학력무관 서울 광진구 정규직 사원급 외
에쓰푸드㈜,[에쓰푸드홀딩스 (존쿡델리미트)] 경영전략실 직무별 경력사원 모집 (정규직),경력3년↑ 대졸↑ 서울 강남구 정규직 사원급 외
㈜포체인스,자유로운 분위기의 포체인스(주)에서 함께 성장할 빅데이터 분석 지원자를 모십니다.,신입·경력 대졸↑ 경기 고양시 정규직 사원급
㈜포체인스,자유로운 분위기의 포체인스(주)에서 함께 성장할 소프트웨어 백엔드 개발자를 모집합니다.,신입·경력 대졸↑ 경기 고양시 정규직 사원급
엠클라우드브리지㈜,데이터 엔지니어(MS) 채용(신입/경력),"신입·경력1년↑ 학력무관 서울 강남구 정규직 3,700만원 이상"
㈜헤론헬스정보시스템,DW 개발 경력사원 채용(Power BI 경험 필수),경력3년↑ 초대졸↑ 서울 서대문구 정규직
아슈리온코리아(유),[외국계] Program Risk Manager,경력8년↑ 대졸↑ 서울 종로구 정규직 팀원
Nimbyx,"[글로벌, 재택근무] 데이터 애널리스트",경력2년↑ 대졸↑ 전국 계약직
바이플㈜,미래 가치를 함께 할 AI Engineer 경력 모집,경력2년↑ 대졸↑ 서울 강남구 정규직
메이븐클라우드서비스㈜,데이터 엔지니어(경력) 채용,경력3년↑ 학력무관 서울 강남구 정규직
㈜에듀클라우드,[에듀클라우드] 2024년 상반기 개발 직군 공개채용,경력무관 대졸↑ 서울 금천구 정규직 사원급 외
㈜마크로밀엠브레인,식품 및 공산품 제품 정보 입력 및 관리 담당자(신입),신입 대졸↑ 서울 강남구 정규직 팀원
야놀자,[트러스테이] Data Engineer,경력3년↑ 학력무관 서울 강남구 정규직
야놀자,Data Analyst,경력2년↑ 학력무관 서울 강남구 정규직
㈜엠폴시스템,(주)엠폴시스템 AI데이터 사이언티스트 모집합니다.,경력5년↑ 학력무관 서울 강서구 정규직
㈜휴비스,[(주) 휴비스] 기술연구소 C/C++ 개발자 신입 및 경력자 모집,경력무관 대졸↑ 대전 유성구 정규직 팀원
㈜타스코,BI(Business Intelligence) 컨설턴트 채용 공고 -신입/경력,"신입·경력 초대졸↑ 서울 서초구 정규직 3,100만원 이상"
강북삼성병원,[강북삼성병원] 헬스케어데이터센터 데이터 사이언티스트 모집,경력2년↑ 대졸↑ 서울 종로구 계약직 사원급
이마고웍스,Data Pipeline Team Leader,경력2년↑ 대졸↑ 서울 강남구 정규직 팀원
㈜덴컴,"[덴컴] 음성 전처리, 신호처리, 마이크 엔지니어 채용",경력5년↑ 대졸↑ 서울 강남구 정규직
비타,python 백앤드 딥러닝,"경력3년↑ 학력무관 경기 성남시 정규직 4,000~6,000만원 과장~차장급 외"
㈜덴컴,[덴컴] AI 응용 프로그램 개발을 위한 풀스택 개발자 채용,경력5년↑ 대졸↑ 서울 강남구 정규직
서울대학교병원,서울대학교병원 영상데이터분석/딥러닝 연구원 채용,경력 대졸↑ 서울 종로구 계약직
㈜디지아톰,[신입/경력] 공공SI 사업 (빅데이터) 서비스 기획 영업 지원,신입·경력 초대졸↑ 서울 금천구 정규직
㈜덴컴,[덴컴] UX Researcher/Designer 채용,경력6년↑ 대졸↑ 서울 강남구 정규직
유플러스홈서비스,유플러스홈서비스 HB인프라팀 사무직 채용,경력무관 대졸↑ 서울 마포구 정규직 팀원
㈜클라모스,[정규직/Java Spring/전자정부프레임워크/면접비지급] BackEnd 개발자,경력6년↑ 초대졸↑ 서울 구로구 외 정규직
㈜덴컴,[덴컴] 음성인식 솔루션 개발 프로젝트 매니저 채용,경력10년↑ 대졸↑ 서울 강남구 정규직
앤코어㈜,공작기계 파츠북 제작 인원 모집합니다.,"경력무관 학력무관 경남 창원시 정규직 2,550~3,000만원 사원급 외"
㈜블루스페이스엠앤디,경기도 부천근무 해도제작 경력직,"경력1년↑ 대졸↑ 경기 부천시 정규직 3,000~8,000만원 주임~대리급 외"
㈜덴컴,[덴컴] AI Research Leader 채용,경력10년↑ 박사↑ 서울 강남구 정규직 팀장/매니저/실장
㈜블루스페이스엠앤디,부산근무 해도제작 경력직,"경력1년↑ 대졸↑ 부산 동구 정규직 3,000~8,000만원 주임~대리급 외"
㈜덴컴,[덴컴] Front-end Tech Leader 채용,경력8년↑ 대졸↑ 서울 강남구 정규직 팀장/매니저/실장
㈜덴컴,[덴컴] 음성 AI Researcher 채용,경력4년↑ 대졸↑ 서울 강남구 정규직
㈜덴컴,[덴컴] Back-end Tech Leader 채용,경력8년↑ 대졸↑ 서울 강남구 정규직 팀장/매니저/실장
㈜덴컴,[덴컴] 인프라 및 보안 담당자 채용,경력5년↑ 대졸↑ 서울 강남구 정규직
㈜딥핑소스,Deep Learning Researcher 채용,경력2년↑ 대졸↑ 서울 강남구 정규직
㈜파오스파트너스,"(주)파오스파트너스 공채 채용-DB관리, DB생성",신입·경력 초대졸↑ 서울 용산구 정규직 사원급 외
㈜파밀리데이터,데이터 처리 및 분석 / JAVA 개발자 / IOS 개발 경력자 채용,"경력3년↑ 대졸↑ 경기 안양시 외 정규직 5,000~10,000만원 과장~차장급 외"
업템포글로벌,[업템포글로벌] 데이터 프로젝트 매니저를 채용합니다.,경력무관 대졸↑ 서울 강남구 정규직 팀원
㈜델타엑스,AI 연구원 및 개발자 모집,"경력무관 대졸↑ 서울 구로구 정규직 3,000만원 이상"
㈜펜타컴,퍼포먼스 마케팅 신입 및 경력 채용공고,신입·경력 초대졸↑ 서울 강남구 정규직 외 사원급 외
스위트케이,인공지능(AI) 연구소 자연어처리 분야(신입/경력),신입·경력 대졸↑ 경기 과천시 정규직 외 사원급 외
㈜유클리드소프트,"데이터 사이언티스트 채용(판교, 대전)",경력3년↑ 대졸↑ 경기 성남시 계약직 외 주임~대리급 외
㈜아이옵스,"(주)아이옵스 연구센터 AI Product owner, ML engineer 개발자 채용 (위성, S/W, AI, ML, DL, 영상, 개발)",신입·경력3년↑ 대졸↑ 대전 유성구 정규직 사원급 외
마크클라우드,특허/상표 데이터 등 분석(Python) 및 사업 기획 신규/경력 모집 - 정규직,신입·경력 대졸↑ 서울 강남구 정규직
㈜림엠버,(주)림엠버 코인 현물 애널리스트 전문가 채용(리딩 및 유튜브 영상 촬영자 모집),경력무관 학력무관 서울 금천구 정규직 외 팀장/매니저/실장
㈜에이아이네이션,인공지능(AI) 데이터 사이언티스트 모집(경력),경력5년↑ 학력무관 서울 서초구 정규직 사원급 외
㈜에이케이입찰솔루션,"사무직(입찰관리, 분석팀, 영업팀) 직원 채용 기본 3000이상","신입·경력 초대졸↑ 서울 강남구 정규직 외 3,000~5,000만원 사원급 외"
에이디오트,(R&D)건물 에너지 관리시스템 연구인력,경력무관 석사↑ 광주 북구 정규직
㈜비밀리,앱 서비스 운영 담당자,경력4년↑ 초대졸↑ 경기 성남시 정규직
㈜ 로그엔코딩,분야별 코딩 강사 채용 / 국제학교 출강 [Python / Java / C++ 등],"경력무관 대졸↑ 서울 강남구 정규직 외 3,600만원 이상"
㈜에이브랩스,데이터 분석 (Data Scientist) 채용,"신입·경력 학력무관 서울 용산구 정규직 외 3,800~9,000만원"
그린컴퓨터아카데미천안학원,프로그래밍 기초강의 및 개발자 강의 교사 채용,경력무관 초대졸↑ 충남 천안시 정규직 외
㈜모모랩스,[모모랩스] 통계팀(데이터분석) 채용(신입/경력),신입·경력 학력무관 서울 강남구 정규직
캐롯손해보험㈜,부문별 경력직 대규모 채용,신입·경력 학력무관 서울 중구 정규직 외
㈜테크핀레이팅스,[신한은행X더존비즈온] 테크핀레이팅스 직원 채용(모형개발/CB상품개발),경력5년↑ 학력무관 서울 중구 정규직
콘센트릭스서비스코리아(유),GA/AA 데이터분석 (사원대리과장급),경력1년↑ 학력무관 서울 강남구 정규직 사원급 외
잼팟㈜,[넷마블컴퍼니 잼팟] BI/DW 담당자,경력5년↑ 학력무관 서울 영등포구 정규직
㈜웨어밸리,웨어밸리 부문별 개발자 / 영업본부(해외사업팀) 채용 공고,신입·경력2년↑ 학력무관 서울 마포구 외 정규직
㈜스피링크,AI 챗봇 데이터 설계/구축 PM(프로젝트 매니저),경력3년↑ 대졸↑ 서울 중구 외 정규직
㈜스피링크,인공지능/챗봇 데이터 설계/구축 PL(프로젝트 리더),"경력 대졸↑ 서울 중구 외 계약직 3,000만원 이상"
엔에이치엔㈜,[NHN] GameBI DW/DM 엔지니어,경력3년↑ 학력무관 경기 성남시 정규직
㈜비케이브,[패션기업] 비케이브 IT 세일즈 포스 운영 담당자 채용,경력2년↑ 초대졸↑ 서울 마포구 외 정규직
㈜클루커스 부산캠퍼스,[클루커스 부산캠퍼스] Microsoft Power Platform 엔지니어 모집,경력2년↑ 학력무관 부산 해운대구 정규직
라온시스,라온시스 소프트웨어 경력 개발 직원 채용,"경력3년↑ 학력무관 경북 고령군 정규직 3,500만원 이상"
세종아이티직업전문학교,[부동산 빅데이터 분석]과정 개발 및 강의 교강사 채용,경력무관 초대졸↑ 서울 금천구 계약직 외
㈜한국해양기상기술,기상수치모델링 전문연구요원 정규직,경력무관 대졸↑ 서울 구로구 정규직 주임~대리급
㈜유니바,AI 개발자 채용 (정규직 전환 가능),경력무관 대졸↑ 대구 달성군 계약직 팀원
㈜티아이에스에스,DB 엔지니어 채용 (신입/경력직),신입·경력1년↑ 초대졸↑ 부산 해운대구 정규직 사원급 외
㈜인스파이어파트너스,(경력)생성형 AI 응용제품 개발자 채용,경력3년↑ 학력무관 서울 영등포구 정규직
메디웨일,[메디웨일] 데이터 사이언티스트,"경력3년↑ 학력무관 서울 구로구 정규직 5,000만원 이상"
(주)제이엠피코리아,자바 풀스택 파이썬 국비훈련 강사 모집,경력5년↑ 대졸↑ 서울 구로구 계약직
넛지헬스케어㈜,[캐시워크-병역특례] 데이터분석 담당 산업기능요원,경력무관 학력무관 서울 강남구 병역특례
㈜한국정보기술단,데이터표준품질부문 경력채용 (정규직),경력3년↑ 대졸↑ 서울 서초구 외 정규직
㈜반프,R&D / Data Scientist / Analyst,경력2년↑ 학력무관 서울 강남구 정규직
㈜에오디컨설팅,데이터 컨설팅 신입 및 경력 직원을 채용합니다.,"경력무관 대졸↑ 경기 고양시 정규직 3,400만원 이상 사원급 외"
콘센트릭스서비스코리아(유),데이터 분석 (태깅),경력1년↑ 학력무관 서울 강남구 정규직 과장~차장급
㈜플렉싱크,AI사업본부(제주) 채용,신입·경력 대졸↑ 제주 제주시 정규직
㈜제인,"[재택근무가능]AI 서비스 기획에 자신 있으신 분 구합니다.(경력무관,학력무관)",신입·경력 학력무관 인천 부평구 정규직
디포커스㈜,데이터 엔지니어 모집,경력2년↑ 학력무관 서울 성동구 정규직
㈜플렉싱크,AI사업본부(서울) 채용,경력1년↑ 대졸↑ 서울 강남구 정규직 주임~대리급 외
바이온사이트,Data Scientist 채용,"경력2년↑ 대졸↑ 서울 성동구 정규직 4,000~12,000만원 팀원 외"
㈜젠티,[젠티] 인공지능(AI) 엔지니어 모집(병역특례 전문연구요원 포함),"경력 대졸↑ 서울 양천구 정규직 외 4,000~10,000만원 주임~대리급 외"
㈜제인,"[재택근무가능]빅데이터 개발에 자신 있으신 분 구합니다.(경력무관,학력무관)",신입·경력 학력무관 인천 부평구 정규직
㈜제이앤제이닷두,대기업 기술 PM 모집,"경력10년↑ 학력무관 전남 여수시 계약직 외 700~1,000만원(월) 과장~차장급 외"
티지,"IT컨설턴트, 데이터 컨설팅, 데이터 유지보수 신입 및 경력 모집",경력무관 대졸↑ 서울 영등포구 정규직 사원급 외
이모션웨이브㈜,"인공지능 연구소 팀원 모집 - 인공지능,블록체인,데이터구축 외",경력무관 대졸↑ 서울 강남구 정규직 외 주임~대리급 외
데이터마케팅코리아,데이터 분석 및 데이터 전략 컨설턴트 모집,경력무관 대졸↑ 서울 강남구 정규직 사원급 외
㈜비버웍스,[비버웍스] Data Scientist 모집,신입·경력 학력무관 서울 강남구 정규직
아이디비㈜,AI 개발자 채용,"경력무관 학력무관 서울 강남구 정규직 외 2,600만원 이상"
㈜알에스엔,[신입 / 경력] 소셜 빅데이터 분석 컨설턴트(데이터 사이언티스트) 채용,신입·경력3년↑ 초대졸↑ 경기 고양시 정규직 외 사원급 외
주식회사 크라우드웍스,[계약직] 데이터라벨링 모니터링 담당자,경력무관 학력무관 서울 강남구 계약직 230만원 이상(월) 팀원
㈜인피닉,"에이아이스튜디오 AI 알고리즘 개발자 채용 (신입, 경력, 병역특례)",신입·경력 대졸↑ 서울 강남구 정규직 외 사원급 외
㈜푸드테크,㈜푸드테크 IT부문 개발/기획/PMO 채용,경력2년↑ 학력무관 서울 강남구 외 정규직
삼성웰스토리㈜,부문별 경력사원 채용 (골프장 홀관리),경력 전국
삼성웰스토리㈜,부문별 경력사원 채용 (골프장 조리사),경력 전국
㈜스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [AI센터] 대량 데이터 수집 및 전처리 담당(아르바이트),경력무관 학력무관 경기 성남시 아르바이트
이컴라인,"1.[성남] 사업관리, 품질관리, 사업 전체 관리, 고급, KOICA",경력10년↑ 초대졸↑ 경기 성남시 프리랜서
삼성웰스토리㈜,부문별 경력사원 채용,경력 전국
엘지전자㈜,[HE사업본부] 마케팅자동화 환경 구축을 위한 데이터 전문가 모집(데이터분석),경력 대졸↑ 서울 영등포구
엘지전자㈜,[HE사업본부] 마케팅자동화 환경 구축을 위한 데이터 전문가 모집(디지털마케팅),경력 대졸↑ 서울 영등포구
엘지전자㈜,[HE사업본부] 마케팅자동화 환경 구축을 위한 데이터 전문가 모집,경력 대졸↑ 서울 영등포구
삼성에스디아이,SDI연구소 수시 경력채용,경력 석사↑ 경기 수원시
엘지전자㈜,[한국영업본부] Data Engineer 경력사원 채용,경력 대졸↑ 서울 중구
엘지전자㈜,[한국영업본부] Data Scientist 경력사원 채용 (B2B),경력 대졸↑ 서울 중구
엘지전자㈜,[한국영업본부] Data Scientist 경력사원 채용,경력 대졸↑ 서울 중구
엘지전자㈜,[한국영업본부] Data Scientist/Data Engineer 경력사원 채용,경력 대졸↑ 서울 중구
LG에너지솔루션,2024년 상반기 R&D 산학장학생 상시 모집 (제조지능화센터),신입 석사↑ 경기 과천시 외
LG에너지솔루션,2024년 상반기 R&D 산학장학생 상시 모집 (BMS개발센터),신입 석사↑ 대전 유성구 외
LG에너지솔루션,2024년 3월 경력사원 모집 (CDO) - 제조지능화/가상계측,경력 대졸↑ 경기 과천시
LG에너지솔루션,2024년 3월 경력사원 모집 (CDO) - Data Science,경력 대졸↑ 경기 과천시 외
LG에너지솔루션,2024년 3월 경력사원 모집 (CDO) - AI기술개발/Data 분석,경력 대졸↑ 서울 영등포구 외
(주)에이치에스애드,각 모집분야별 상시 인재 채용(조직문화),경력 대졸↑ 서울 마포구
(주)에이치에스애드,각 모집분야별 상시 인재 채용(전시기획),경력 대졸↑ 서울 마포구
(주)에이치에스애드,각 모집분야별 상시 인재 채용(플랫폼 기획),경력 대졸↑ 서울 마포구
(주)에이치에스애드,각 모집분야별 상시 인재 채용(디지털 데이터 분석),경력 대졸↑ 서울 마포구
(주)에이치에스애드,각 모집분야별 상시 인재 채용(ISM(In Store Management)),경력 대졸↑ 서울 마포구
(주)에이치에스애드,각 모집분야별 상시 인재 채용(회계),경력 대졸↑ 서울 마포구
(주)에이치에스애드,각 모집분야별 상시 인재 채용(HR),경력 대졸↑ 서울 마포구
(주)에이치에스애드,각 모집분야별 상시 인재 채용,경력 대졸↑ 서울 마포구
(주)LG생활건강,상시인재 채용(신입)-물류,신입 충북 청주시 외
(주)LG생활건강,상시인재 채용(신입)-설비구매,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-품질보증(QA),신입 충북 청주시 외
(주)LG생활건강,상시인재 채용(신입)-설비관리,신입 충북 청주시 외
(주)LG생활건강,상시인재 채용(신입)-생산관리,신입 충북 청주시 외
(주)LG생활건강,상시인재 채용(신입)-전략,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-개발구매,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-SCM,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-데이터분석,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-PI(Process Innovation),신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-환경안전,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-노경,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-HRM,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-HRD,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-재경,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-VMD,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-Product Design,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-Interior Design,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-Graphic Design,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-포장연구,신입 충북 청주시
(주)LG생활건강,상시인재 채용(신입)-안전성/분석 연구,신입 대전 유성구
(주)LG생활건강,상시인재 채용(신입)-소재 합성 연구,신입 대전 유성구
(주)LG생활건강,상시인재 채용(신입)-효능 개발연구,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-향 연구,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-음료/건강기능식품 개발연구,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-소비자연구,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-생활용품 개발연구,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-색조 화장품 개발연구/색채연구,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-미래기반연구,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-기초 화장품 개발연구,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-영업관리,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-디지털커머스,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입)-HDB브랜드마케팅,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입) - Beauty브랜드마케팅,신입 서울 종로구 외
(주)LG생활건강,상시인재 채용(신입),신입 전국
㈜티시스아이티,2024년 IT 기술리더 영입 - BI,경력 서울 중구
㈜멋쟁이사자처럼,"(주)멋쟁이사자처럼 KDT교육 인공지능, 데이터분석 프리랜서 강사",경력 초대졸↑ 서울 종로구 프리랜서
㈜크레디트라인,"DW, daramart, python, 데이터시각화 운영업무 담당개발자",경력6년↑ 학력무관 서울 영등포구 프리랜서
대한상공회의소 서울기술교육센터,"[전액국비,취업연계] 임베디드 시스템반도체 교육생 모집 (반도체설계과정)",신입·경력 학력무관 서울 강서구 외 연수생/교육생
메인에듀㈜,빅데이터분석기사 자격증 교재집필 저자/강사 채용공고,경력3년↑ 대졸↑ 서울 강동구 프리랜서
